Occ1,Flow1,Occ2,Flow2,Occ3,Flow3
0.2539,142,0.2011,135,0.1975,125
0.292,153,0.2244,141,0.216,135
0.2046,146,0.1497,133,0.1344,97
0.1107,141,0.0833,125,0.0531,66
0.1076,139,0.0709,105,0.0588,74
0.0828,111,0.0769,114,0.0541,67
0.0943,127,0.0781,120,0.0475,64
0.0917,116,0.0736,111,0.0401,51
0.1094,131,0.0942,116,0.0662,65
0.098,134,0.0751,114,0.0464,59
0.0983,131,0.0759,112,0.057,59
0.0968,128,0.0679,105,0.0516,64
0.0814,107,0.0837,125,0.0521,73
0.0877,117,0.0677,95,0.0477,65
0.0662,90,0.07,102,0.0419,53
0.0763,98,0.0736,107,0.0509,62
0.0771,96,0.0716,98,0.0406,50
0.0714,91,0.0719,97,0.0551,67
0.0753,95,0.0688,98,0.044,47
0.0846,107,0.072,100,0.0493,63
0.0725,92,0.0655,99,0.053,63
0.0672,78,0.0662,93,0.0438,56
0.0646,80,0.0622,84,0.0455,52
0.0874,97,0.0724,87,0.0491,59
0.0659,79,0.0666,86,0.0442,52
0.0607,73,0.0739,95,0.049,49
0.0491,60,0.0558,79,0.0399,42
0.0789,86,0.0726,90,0.0473,57
0.077,94,0.0578,81,0.0488,55
0.0519,62,0.0625,80,0.0342,40
0.074,90,0.0603,80,0.0458,47
0.0621,72,0.0561,76,0.0414,54
0.0648,74,0.0603,87,0.0357,41
0.0742,88,0.068,88,0.0497,48
0.0586,72,0.0503,70,0.043,51
0.0828,97,0.0661,81,0.0449,50
0.0578,70,0.0657,92,0.0346,43
0.0608,73,0.0586,78,0.0454,51
0.0794,92,0.0679,91,0.0486,55
0.0888,107,0.0779,106,0.0493,56
0.1279,126,0.1122,119,0.05,54
0.1912,117,0.1438,114,0.0982,67
0.2755,114,0.2197,107,0.1279,71
0.2822,113,0.2684,111,0.1686,71
0.2933,104,0.2986,90,0.2308,81
0.2971,105,0.2807,109,0.2024,78
0.2832,98,0.2707,93,0.2124,77
0.336,109,0.2658,99,0.2144,82
0.2892,102,0.2756,94,0.2673,74
0.2233,99,0.2027,101,0.1781,89
